210369,ACC,201,Roselia Whisnant,3,14,15,TR,18:00,19:20,Financial Accounting
210369,ACC,201,Christinia Lorenzana,3,14,15,TR,18:00,19:20,Financial Accounting
210369,ACC,201,Jesica Cryer,3,16,15,MWF,11:00,11:50,Financial Accounting
052056,ACC,202,Jesica Cryer,3,12,15,MWF,09:00,09:50,Managerial Accounting
052056,ACC,202,Faustino Mailloux,3,16,15,TR,08:00,09:20,Managerial Accounting
361526,ACC,301,Jesica Cryer,3,15,15,MWF,09:00,09:50,Intermediate Accounting I
160779,ACC,302,Jesica Cryer,3,14,15,MW,11:00,12:20,Intermediate Accounting II
083919,ACC,303,Jesica Cryer,3,3,15,MW,15:00,16:20,Intermediate Accounting III
346288,ACC,321,Christinia Lorenzana,3,13,15,MW,12:30,13:50,Managerial Cost Accounting
380760,ACC,331,Christinia Lorenzana,3,14,15,MW,12:30,13:50,Income Tax Accounting
843194,ACC,441,Jesica Cryer,3,7,15,MW,15:00,16:20,Auditing
675398,ACC,442,Faustino Mailloux,3,7,15,TR,08:00,09:20,Accounting Info Systems
723054,ACC,461,Christinia Lorenzana,3,10,15,TR,14:00,15:20,International Accounting
200060,ACC,499,Christinia Lorenzana,1,1,1,H,00:00,00:00,Independent Study
158849,ART,131,Laveta Pea,3,12,12,TR,09:30,10:50,Beginning Photography
158849,ART,131,Laveta Pea,3,10,12,TR,11:00,12:20,Beginning Photography
834730,ART,135,Melia Ruge,3,11,12,M,15:00,17:50,Digital Media I
834730,ART,135,Melia Ruge,3,12,12,W,16:00,18:50,Digital Media I
316827,ART,140,Gregory Garretson,3,14,15,TR,11:00,12:20,Art History
316827,ART,140,Gregory Garretson,3,15,15,TR,11:00,12:20,Art History
316827,ART,140,Gregory Garretson,3,14,15,TR,09:30,10:50,Art History
263984,ART,150,Melita Crafford,3,11,12,TR,14:00,15:20,Fundamentals of Design in Art
263984,ART,150,Herbert Myhre,3,12,12,F,09:30,12:20,Fundamentals of Design in Art
863991,ART,160,Yon Seidel,3,12,12,MW,09:30,10:50,Design I
863991,ART,160,Yon Seidel,3,12,12,MW,11:00,12:20,Design I
206728,ART,170,Melita Crafford,3,12,12,T,15:30,18:20,Intro to Drawing
206728,ART,170,Melita Crafford,3,13,15,F,09:00,11:50,Intro to Drawing
206728,ART,170,Melita Crafford,3,12,12,TR,11:00,12:20,Intro to Drawing
206728,ART,170,Teressa Marshburn,3,13,15,MW,15:00,16:20,Intro to Drawing
202972,ART,195,Yon Seidel,1,6,12,MW,08:30,09:50,Special Topics
202972,ART,195,Herbert Myhre,1,8,12,R,17:00,19:50,Special Topics
